Code,License Type,Indicator Name,Short definition,Long definition,Source,Topic,Periodicity,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Notes from original source
SP.RUR.TOTL.ZS,CC BY-4.0,Rural population (% of total population),,Rural population refers to people living in rural areas as defined by national statistical offices. It is calculated as the difference between total population and urban population.,World Bank staff estimates based on the United Nations Population Division's World Urbanization Prospects: 2018 Revision.,Population dynamics: Other demographic Indicators,Annual,Weighted average,"Rural population is calculated as the difference between the total population and the urban population. Rural population is approximated as the midyear nonurban population. While a practical means of identifying the rural population, it is not a precise measure.

The United Nations Population Division and other agencies provide current population estimates for developing countries that lack recent census data and pre- and post-census estimates for countries with census data.","The rural population is calculated using the urban share reported by the United Nations Population Division. There is no universal standard for distinguishing rural from urban areas, and any urban-rural dichotomy is an oversimplification.

 The two distinct images - isolated farm, thriving metropolis - represent poles on a continuum. Life changes along a variety of dimensions, moving from the most remote forest outpost through fields and pastures, past tiny hamlets, through small towns with weekly farm markets, into intensively cultivated areas near large towns and small cities, eventually reaching the center of a megacity. Along the way access to infrastructure, social services, and nonfarm employment increase, and with them population density and income.

A 2005 World Bank Policy Research Paper proposes an operational definition of rurality based on population density and distance to large cities (Chomitz, Buys, and Thomas 2005). The report argues that these criteria are important gradients along which economic behavior and appropriate development interventions vary substantially. Where population densities are low, markets of all kinds are thin, and the unit cost of delivering most social services and many types of infrastructure is high. Where large urban areas are distant, farm-gate or factory-gate prices of outputs will be low and input prices will be high, and it will be difficult to recruit skilled people to public service or private enterprises. Thus, low population density and remoteness together define a set of rural areas that face special development challenges.

Countries differ in the way they classify population as "urban" or "rural."

Most countries use an urban classification related to the size or characteristics of settlements. Some define urban areas based on the presence of certain infrastructure and services. And other countries designate urban areas based on administrative arrangements. Because of national differences in the characteristics that distinguish urban from rural areas, the distinction between urban and rural population is not amenable to a single definition that would be applicable to all countries.

Rural population methodology is defined by various national statistical offices. In the United States, for example, the US Census Bureau's urban-rural classification is fundamentally a delineation of geographical areas, identifying both individual urban areas and the rural areas of the nation. "Rural" encompasses all population, housing, and territory not included within an urban area.","Aggregation of urban and rural population may not add up to total population because of different country coverage. There is no consistent and universally accepted standard for distinguishing urban from rural areas, in part because of the wide variety of situations across countries.

Estimates of the world's urban population would change significantly if China, India, and a few other populous nations were to change their definition of urban centers.

Because the estimates of city and metropolitan area are based on national definitions of what constitutes a city or metropolitan area, cross-country comparisons should be made with caution. To estimate urban populations, UN ratios of urban to total population were applied to the World Bank's estimates of total population.",,
SP.RUR.TOTL.ZG,CC BY-4.0,Rural population growth (annual %),,Rural population refers to people living in rural areas as defined by national statistical offices. It is calculated as the difference between total population and urban population.,World Bank staff estimates based on the United Nations Population Division's World Urbanization Prospects: 2018 Revision.,Population dynamics: Other demographic Indicators,Annual,Weighted average,"Rural population is calculated as the difference between the total population and the urban population. Rural population is approximated as the midyear nonurban population. While a practical means of identifying the rural population, it is not a precise measure.

The United Nations Population Division and other agencies provide current population estimates for developing countries that lack recent census data and pre- and post-census estimates for countries with census data.","The rural population is calculated using the urban share reported by the United Nations Population Division. There is no universal standard for distinguishing rural from urban areas, and any urban-rural dichotomy is an oversimplification.

 The two distinct images - isolated farm, thriving metropolis - represent poles on a continuum. Life changes along a variety of dimensions, moving from the most remote forest outpost through fields and pastures, past tiny hamlets, through small towns with weekly farm markets, into intensively cultivated areas near large towns and small cities, eventually reaching the center of a megacity. Along the way access to infrastructure, social services, and nonfarm employment increase, and with them population density and income.

A 2005 World Bank Policy Research Paper proposes an operational definition of rurality based on population density and distance to large cities (Chomitz, Buys, and Thomas 2005). The report argues that these criteria are important gradients along which economic behavior and appropriate development interventions vary substantially. Where population densities are low, markets of all kinds are thin, and the unit cost of delivering most social services and many types of infrastructure is high. Where large urban areas are distant, farm-gate or factory-gate prices of outputs will be low and input prices will be high, and it will be difficult to recruit skilled people to public service or private enterprises. Thus, low population density and remoteness together define a set of rural areas that face special development challenges.

Countries differ in the way they classify population as "urban" or "rural."

Most countries use an urban classification related to the size or characteristics of settlements. Some define urban areas based on the presence of certain infrastructure and services. And other countries designate urban areas based on administrative arrangements. Because of national differences in the characteristics that distinguish urban from rural areas, the distinction between urban and rural population is not amenable to a single definition that would be applicable to all countries.

Rural population methodology is defined by various national statistical offices. In the United States, for example, the US Census Bureau's urban-rural classification is fundamentally a delineation of geographical areas, identifying both individual urban areas and the rural areas of the nation. "Rural" encompasses all population, housing, and territory not included within an urban area.","Aggregation of urban and rural population may not add up to total population because of different country coverage. There is no consistent and universally accepted standard for distinguishing urban from rural areas, in part because of the wide variety of situations across countries.

Estimates of the world's urban population would change significantly if China, India, and a few other populous nations were to change their definition of urban centers.

Because the estimates of city and metropolitan area are based on national definitions of what constitutes a city or metropolitan area, cross-country comparisons should be made with caution. To estimate urban populations, UN ratios of urban to total population were applied to the World Bank's estimates of total population.",,
SI.POV.RUHC,CC BY-4.0,Rural poverty headcount ratio at national poverty lines (% of rural population),,Rural poverty headcount ratio is the percentage of the rural population living below the national poverty lines.,"World Bank, Global Poverty Working Group. Data are compiled from official government sources or are computed by World Bank staff using national (i.e. country–specific) poverty lines.",Background: Poverty,Annual,,"Poverty headcount ratio among the rural population is measured based on national (i.e. country-specific) poverty lines. A country may have a unique national poverty line or separate poverty lines for rural and urban areas, or for different geographic areas to reflect differences in the cost of living or sometimes to reflect differences in diets and consumption baskets.

Poverty estimates at national poverty lines are computed from household survey data collected from nationally representative samples of households. These data must contain sufficiently detailed information to compute a comprehensive estimate of total household income or consumption (including consumption or income from own production), from which it is possible to construct a correctly weighted distribution of per capita consumption or income.

National poverty lines are the benchmark for estimating poverty indicators that are consistent with the country's specific economic and social circumstances. National poverty lines reflect local perceptions of the level and composition of consumption or income needed to be non-poor. The perceived boundary between poor and non-poor typically rises with the average income of a country and thus does not provide a uniform measure for comparing poverty rates across countries. While poverty rates at national poverty lines should not be used for comparing poverty rates across countries, they are appropriate for guiding and monitoring the results of country-specific national poverty reduction strategies.

Almost all national poverty lines are anchored to the cost of a food bundle - based on the prevailing national diet of the poor - that provides adequate nutrition for good health and normal activity, plus an allowance for nonfood spending. National poverty lines must be adjusted for inflation between survey years to remain constant in real terms and thus allow for meaningful comparisons of poverty over time. Because diets and consumption baskets change over time, countries periodically recalculate the poverty line based on new survey data. In such cases the new poverty lines should be deflated to obtain comparable poverty estimates from earlier years. The data is based on the two most recent years for which survey data are available.

Survey year is the year in which the underlying household survey data were collected or, when the data collection period bridged two calendar years, the year in which most of the data were collected.",,,"This series only includes estimates that to the best of our knowledge are reasonably comparable over time for a country. Due to differences in estimation methodologies and poverty lines, estimates should not be compared across countries.",
SI.POV.URHC,CC BY-4.0,Urban poverty headcount ratio at national poverty lines (% of urban population),,Urban poverty headcount ratio is the percentage of the urban population living below the national poverty lines.,"World Bank, Global Poverty Working Group. Data are compiled from official government sources or are computed by World Bank staff using national (i.e. country–specific) poverty lines.",Background: Poverty,Annual,,"Poverty headcount ratio among the urban population is measured based on national (i.e. country-specific) poverty lines. A country may have a unique national poverty line or separate poverty lines for rural and urban areas, or for different geographic areas to reflect differences in the cost of living or sometimes to reflect differences in diets and consumption baskets.

Poverty estimates at national poverty lines are computed from household survey data collected from nationally representative samples of households. These data must contain sufficiently detailed information to compute a comprehensive estimate of total household income or consumption (including consumption or income from own production), from which it is possible to construct a correctly weighted distribution of per capita consumption or income.

National poverty lines are the benchmark for estimating poverty indicators that are consistent with the country's specific economic and social circumstances. National poverty lines reflect local perceptions of the level and composition of consumption or income needed to be non-poor. The perceived boundary between poor and non-poor typically rises with the average income of a country and thus does not provide a uniform measure for comparing poverty rates across countries. While poverty rates at national poverty lines should not be used for comparing poverty rates across countries, they are appropriate for guiding and monitoring the results of country-specific national poverty reduction strategies.

Almost all national poverty lines are anchored to the cost of a food bundle - based on the prevailing national diet of the poor - that provides adequate nutrition for good health and normal activity, plus an allowance for nonfood spending. National poverty lines must be adjusted for inflation between survey years to remain constant in real terms and thus allow for meaningful comparisons of poverty over time. Because diets and consumption baskets change over time, countries periodically recalculate the poverty line based on new survey data. In such cases the new poverty lines should be deflated to obtain comparable poverty estimates from earlier years. The data is based on the two most recent years for which survey data are available.

Survey year is the year in which the underlying household survey data were collected or, when the data collection period bridged two calendar years, the year in which most of the data were collected.",,,"This series only includes estimates that to the best of our knowledge are reasonably comparable over time for a country. Due to differences in estimation methodologies and poverty lines, estimates should not be compared across countries.",
SP.URB.TOTL.IN.ZS,CC BY-4.0,Urban population (% of total population),,Urban population refers to people living in urban areas as defined by national statistical offices. The data are collected and smoothed by United Nations Population Division.,United Nations Population Division. World Urbanization Prospects: 2018 Revision.,Population dynamics: Other demographic Indicators,Annual,Weighted average,Urban population refers to people living in urban areas as defined by national statistical offices. The indicator is calculated using World Bank population estimates and urban ratios from the United Nations World Urbanization Prospects.

Percentages urban are the numbers of persons residing in an area defined as ''urban'' per 100 total population. They are calculated by the Statistics Division of the United Nations Department of Economic and Social Affairs. Particular caution should be used in interpreting the figures for percentage urban for different countries.

Countries differ in the way they classify population as "urban" or "rural." The population of a city or metropolitan area depends on the boundaries chosen.,"Explosive growth of cities globally signifies the demographic transition from rural to urban, and is associated with shifts from an agriculture-based economy to mass industry, technology, and service.

In principle, cities offer a more favorable setting for the resolution of social and environmental problems than rural areas. Cities generate jobs and income, and deliver education, health care and other services. Cities also present opportunities for social mobilization and women's empowerment.","Aggregation of urban and rural population may not add up to total population because of different country coverage. There is no consistent and universally accepted standard for distinguishing urban from rural areas, in part because of the wide variety of situations across countries.

Most countries use an urban classification related to the size or characteristics of settlements. Some define urban areas based on the presence of certain infrastructure and services. And other countries designate urban areas based on administrative arrangements. Because of national differences in the characteristics that distinguish urban from rural areas, the distinction between urban and rural population is not amenable to a single definition that would be applicable to all countries.

Estimates of the world's urban population would change significantly if China, India, and a few other populous nations were to change their definition of urban centers. 

Because the estimates of city and metropolitan area are based on national definitions of what constitutes a city or metropolitan area, cross-country comparisons should be made with caution.",,
SP.URB.GROW,CC BY-4.0,Urban population growth (annual %),,Urban population refers to people living in urban areas as defined by national statistical offices. It is calculated using World Bank population estimates and urban ratios from the United Nations World Urbanization Prospects.,World Bank staff estimates based on the United Nations Population Division's World Urbanization Prospects: 2018 Revision.,Population dynamics: Other demographic Indicators,Annual,Weighted average,"Urban population refers to people living in urban areas as defined by national statistical offices. The indicator is calculated using World Bank population estimates and urban ratios from the United Nations World Urbanization Prospects. To estimate urban populations, UN ratios of urban to total population were applied to the World Bank's estimates of total population.

Countries differ in the way they classify population as "urban" or "rural." The population of a city or metropolitan area depends on the boundaries chosen.","Explosive growth of cities globally signifies the demographic transition from rural to urban, and is associated with shifts from an agriculture-based economy to mass industry, technology, and service.

In principle, cities offer a more favorable setting for the resolution of social and environmental problems than rural areas. Cities generate jobs and income, and deliver education, health care and other services. Cities also present opportunities for social mobilization and women's empowerment.","There is no consistent and universally accepted standard for distinguishing urban from rural areas, in part because of the wide variety of situations across countries.

Most countries use an urban classification related to the size or characteristics of settlements. Some define urban areas based on the presence of certain infrastructure and services. And other countries designate urban areas based on administrative arrangements. Because of national differences in the characteristics that distinguish urban from rural areas, the distinction between urban and rural population is not amenable to a single definition that would be applicable to all countries.

Estimates of the world's urban population would change significantly if China, India, and a few other populous nations were to change their definition of urban centers.

Because the estimates of city and metropolitan area are based on national definitions of what constitutes a city or metropolitan area, cross-country comparisons should be made with caution.",,
